2026-03-23 10:24:14 | INFO     | [20260323_102414] CALL_STARTED — redis=yes | rag_chunks=4
2026-03-23 10:24:18 | INFO     | [20260323_102414] CALLER_SPOKE — text=Hello
2026-03-23 10:24:19 | INFO     | [20260323_102414] AI_SPOKE — text=Hi, this is Priya from BluQQ! How can I help you today?
2026-03-23 10:24:28 | INFO     | [20260323_102414] CALLER_SPOKE — text=what are services provided...
2026-03-23 10:24:29 | INFO     | [20260323_102414] AI_SPOKE — text=We offer a range of tech services like trading bots, dashboards, AI tools, data pipelines, web scrap
2026-03-23 10:24:50 | INFO     | [20260323_102414] CALLER_SPOKE — text=Have a good one.
2026-03-23 10:24:51 | INFO     | [20260323_102414] AI_SPOKE — text=Absolutely! Our dashboards can be customized for your specific needs. They help visualize data, trac
2026-03-23 10:24:55 | INFO     | [20260323_102414] CALLER_SPOKE — text=Thank you.
2026-03-23 10:24:56 | INFO     | [20260323_102414] AI_SPOKE — text=The pricing for dashboards generally ranges from $800 to $3000, depending on complexity and features
2026-03-23 10:24:57 | INFO     | [20260323_102414] CALLER_SPOKE — text=ఇదు సివత్తులు వద్దుకు కొన్ని.
2026-03-23 10:25:07 | INFO     | [20260323_102414] CALLER_SPOKE — text=Bye-bye.
2026-03-23 10:25:07 | INFO     | [20260323_102414] AI_SPOKE — text=Sure, could you tell me a
2026-03-23 10:25:11 | INFO     | [20260323_102414] CALLER_SPOKE — text=Wait, wait, uh...
2026-03-23 10:25:11 | INFO     | [20260323_102414] AI_SPOKE — text=No worries! Whenever you’re ready, I can help with more details or even book a free consultation for
2026-03-23 10:25:19 | INFO     | [20260323_102414] CALLER_SPOKE — text=Thank you.
2026-03-23 10:25:21 | INFO     | [20260323_102414] AI_SPOKE — text=Sure! If you’d like, I can get your name and email to set up a consultation with our team. Would you
2026-03-23 10:25:26 | INFO     | [20260323_102414] CALLER_SPOKE — text=Thank you for watching, and I wish you all a happy new year.
2026-03-23 10:25:26 | INFO     | [20260323_102414] AI_SPOKE — text=No problem at all!
2026-03-23 10:25:30 | INFO     | [20260323_102414] AI_SPOKE — text=Absolutely, I’m here whenever you need help. Just let me know what works best for you!
2026-03-23 10:25:30 | INFO     | [20260323_102414] CALLER_SPOKE — text=Thanks.
2026-03-23 10:25:33 | INFO     | [20260323_102414] CALLER_SPOKE — text=Bye-bye. 
2026-03-23 10:25:34 | INFO     | [20260323_102414] AI_SPOKE — text=We offer trading bots, dashboards, AI tools, data pipelines, web scraping, and real estate tech solu
2026-03-23 10:29:57 | INFO     | [20260323_102414] CALL_ENDED — duration=05:43 | turns=0 | errors=0
